continent,country,max_height_m,mean_height_m,max_agb_Mg_ha,mean_agb_Mg_ha,total_agb_Mg,total_abg_carbon_Mg,total_area_ha
Asia,Myanmar,30.5,13.7,257.3,130.7,61974552,175266415,472156
Asia,Andaman and Nicobar*,25.5,16.1,421.2,192.7,9023870,19319468,46839
Asia,Bangladesh,25.5,15.4,421.2,171.7,73916552,171532878,430607
Asia,Timor Leste*,25.5,21.3,212.6,180.8,6423,14369,36
Asia,Philipines,23.8,10.4,199,110.3,27886714,90271662,252763
Asia,Japan*,22.1,13.3,185.9,127.4,100112,289565,785
Asia,Thailand,22.1,13.4,185.9,126,30703280,89541480,243495
Asia,Cambodia,20.4,9.8,173.4,107.1,5040616,16706995,47066
Asia,Taiwan,18.7,8,161.5,96.4,12994,46890,135
Asia,Hong Kong,17,5.7,150,80.9,46635,194432,576
Asia,China,15.3,5.6,139,81.8,1266828,5243015,15518
Asia,Macau,15.3,8.3,139,98.6,477,1689,5
Asia,Sri Lanka,15.3,7.6,151.1,43.4,989212,7118467,22805
Asia,Vietnam,15.3,6.4,139,87,17462792,68489813,200548
Asia,India,13.6,7.3,119.3,41.1,13331113,100688547,324135
Asia,Pakistan,8.5,5,46.5,17.9,961184,15842946,53700
North and South America,Colombia,54.3,24,413.3,129.5,26648548,75973344,205179
North and South America,Venezuela,52.6,30.7,392.8,184,45505364,100551457,247252
North and South America,Panama,50.9,27.7,372.6,155.6,23676218,58979743,152189
North and South America,French Guyana,49.2,23.2,352.9,129.2,10290431,29453310,79640
North and South America,Costa Rica,45.8,23.4,314.7,116.4,4512007,13998836,38752
North and South America,Guyana,42.4,24.5,278.2,127.8,2806631,8105363,21976
North and South America,Brazil,40.7,19.9,260.5,92.5,97833808,363245344,1051244
North and South America,Ecuador,40.7,19.4,260.5,88.2,11611429,45065625,131671
North and South America,Guatemala,40.7,24.2,260.5,120.2,4142346,12548011,34503
North and South America,Suriname,40.7,17.3,260.5,80.7,6937571,29000268,86001
North and South America,El Salvador,39,18,243.3,75.9,2550341,11216253,33578
North and South America,Saint Lucia,32.2,17.7,179.1,71.6,9892,45725,138
North and South America,Trinidad and Tobago,32.2,19.5,179.1,84.3,532507,2144539,6313
North and South America,Honduras,30.5,16.9,164.2,68,4519796,21857392,66502
North and South America,US Virgin Islands,30.5,13.6,164.2,47.1,8510,56878,181
North and South America,Nicaragua,28.8,14.7,149.9,55.1,4017509,23354504,72985
North and South America,Barbados,27.2,15.6,136,58.6,2094,11514,36
North and South America,Dominican Republic,27.2,12.9,136,45.3,801214,5543970,17687
North and South America,Martinique,27.2,14.9,136,54.6,58613,343171,1073
North and South America,Mexico,27.2,11.1,136,37.9,26388806,212888568,689596
North and South America,Anguilla*,25.5,8.3,122.6,29.4,56,574,2
North and South America,Grenada,25.5,16.1,122.6,61.1,12704,67394,208
North and South America,Jamaica,25.5,10.6,122.6,35.6,325390,2806067,9143
North and South America,Saint Vincent and the Grenadines*,23.8,11.7,109.8,40.7,1642,12536,40
North and South America,Belize,22.1,8.8,97.5,26,1447931,16717298,55634
North and South America,Cuba,22.1,9.9,97.5,30.2,12797064,128397896,423316
North and South America,Peru,22.1,12.1,97.5,40.1,162545,1256800,4055
North and South America,Saint Kitts and Nevis,22.1,9.9,97.5,31.6,1637,15732,52
North and South America,United States (continental),22.1,10.6,97.5,33.3,7666705,70281607,230140
North and South America,Guadeloupe,20.4,11,85.7,34.1,101593,911443,2979
North and South America,Cayman Islands,18.7,11.2,74.6,34.3,259153,2309178,7544
North and South America,Aruba,17,7.2,64,20.2,1956,28741,97
North and South America,British Virgin Islands,17,5.8,64,14.2,1090,22465,77
North and South America,Puerto Rico,17,8.2,64,21.8,170687,2333429,7840
North and South America,Antigua and Barbuda,15.3,9.1,54,25.2,22607,269102,897
North and South America,Bahamas,13.6,5.8,44.7,13.3,1016952,22295189,76367
North and South America,Haiti,13.6,7.5,44.7,18,261748,4280545,14504
North and South America,Turks and Caicos Islands,10.2,6.9,28.2,15.4,262418,4992163,17017
Middle East,Oman,17,6.1,186.7,33.7,7825,70433,230
Middle East,Iran,11.9,5.5,91.3,24.4,300787,3692116,12332
Middle East,Saudi Arabia,11.9,3.9,91.3,16.2,109564,1941001,6599
Middle East,Yemen,11.9,7.4,91.3,35.2,36737,319725,1043
Middle East,Qatar,10.2,4.7,67,18,6892,112853,382
Middle East,United Arab Emirates,10.2,3.7,67,11.9,140746,3435388,11805
Middle East,Bahrain,6.8,2,29.7,4.5,328,20902,73
