territory,habitat,hectare,country,hectare_UpperCI,hectare_LowerCI,stock_MgHa_mean,n,stock_MgHa_se,stock_MgHa_upper_CI,stock_MgHa_lower_CI,n_sites,TierIII_mean,TierIII_LowerCI,TierIII_UpperCI,tierII_gtlt_tier_I,tier_II_overlaps_TierI,tierIII_gtlt_tier_II,tierII_overlaps_tierIII,tierIII_gtlt_tier_I,tierIII_overlaps_tierI,text_position,TierI_mean,TierI_LowerCI,TierI_UpperCI,compiled_EF,compiled_UpperCI,compiled_LowerCI,TierIorII,Total_Stocks,Total_Stocks_se,Total_Stocks_UpperCI,Total_Stocks_LowerCI,Total_SE,Total_Stockers_UpperCI,Total_Stockers_LowerCI
Saint Martin,seagrass,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Réunion,mangrove,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Réunion,marsh,21.063476586914067,France,23.811925687702782,12.758380391052526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,5371.186529663087,755.2552835117822,6821.276674005709,3921.096385320465,NA,NA,NA
Réunion,seagrass,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Aruba,mangrove,73.25662073766371,Aruba,84.92456799756289,64.32396367306221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,28277.05560473819,2444.5898148572082,32970.66804926403,23583.44316021235,NA,NA,NA
Aruba,marsh,0,Aruba,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Aruba,seagrass,NA,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Jordan,mangrove,NA,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Jordan,marsh,NA,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Jordan,seagrass,137,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,14796,NA,NA,NA,NA,NA,NA
Slovenia,mangrove,0,Slovenia,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Slovenia,marsh,139.53107912657498,Slovenia,157.7376684982347,84.5155155904727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,35580.42517727662,5003.048014871192,45186.27736582931,25974.572988723936,NA,NA,NA
Slovenia,seagrass,8,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,864,NA,NA,NA,NA,NA,NA
Iraq,mangrove,0,Iraq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
