territory,habitat,hectare,country,hectare_UpperCI,hectare_LowerCI,stock_MgHa_mean,n,stock_MgHa_se,stock_MgHa_upper_CI,stock_MgHa_lower_CI,n_sites,TierIII_mean,TierIII_LowerCI,TierIII_UpperCI,tierII_gtlt_tier_I,tier_II_overlaps_TierI,tierIII_gtlt_tier_II,tierII_overlaps_tierIII,tierIII_gtlt_tier_I,tierIII_overlaps_tierI,text_position,TierI_mean,TierI_LowerCI,TierI_UpperCI,compiled_EF,compiled_UpperCI,compiled_LowerCI,TierIorII,Total_Stocks,Total_Stocks_se,Total_Stocks_UpperCI,Total_Stocks_LowerCI,Total_SE,Total_Stockers_UpperCI,Total_Stockers_LowerCI
Montserrat,mangrove,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Montserrat,marsh,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Montserrat,seagrass,1307,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,141156,NA,NA,NA,NA,NA,NA
Anguilla,mangrove,4.963787585449219,United Kingdom,5.754394784814431,4.358520623966957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,1916.0220079833985,165.6427016741314,2234.0559951977307,1597.9880207690662,NA,NA,NA
Anguilla,marsh,0,United Kingdom,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Anguilla,seagrass,1370,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,147960,NA,NA,NA,NA,NA,NA
Libya,mangrove,0,Libya,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Libya,marsh,231.9130986406154,Libya,262.17407406838106,140.4723250654106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,59137.84015335693,8315.51203530808,75103.62326114844,43172.057045565416,NA,NA,NA
Libya,seagrass,1155,Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,124740,NA,NA,NA,NA,NA,NA
Bermuda,mangrove,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Bermuda,marsh,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Bermuda,seagrass,1625,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,175500,NA,NA,NA,NA,NA,NA
Palestinian Territory,mangrove,NA,Palestinian Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Palestinian Territory,marsh,NA,Palestinian Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Palestinian Territory,seagrass,1745,Palestinian Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,188460,NA,NA,NA,NA,NA,NA
Comoros,mangrove,108.96542810759898,Comoros,126.32089516995187,95.67856350230554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,42060.65524953321,3636.200701603464,49042.16059661186,35079.149902454556,NA,NA,NA
Comoros,marsh,15.081191412353515,Comoros,17.04904732659783,9.134844193223962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,3845.7038101501466,540.7535384215146,4883.950603919455,2807.4570163808385,NA,NA,NA
Comoros,seagrass,2131,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,230148,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,mangrove,1989.2327155709777,Côte d'Ivoire,2306.0677289695004,1746.6726098637566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,767843.8282103974,66381.14052898697,895295.6180260524,640392.0383947424,NA,NA,NA
Côte d'Ivoire,marsh,300.4633496555703,Côte d'Ivoire,339.6690439184946,181.99396916542958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,76618.15416217042,10773.460468059591,97303.19826084483,55933.11006349601,NA,NA,NA
Côte d'Ivoire,seagrass,NA,Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Bulgaria,mangrove,0,Bulgaria,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Bulgaria,marsh,2117.12410246393,Bulgaria,2393.3751672710614,1282.3654501119454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,539866.6461283021,75911.93019054606,685617.5520941506,394115.7401624537,NA,NA,NA
Bulgaria,seagrass,295,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,31860,NA,NA,NA,NA,NA,NA
Wallis and Futuna,mangrove,17.56200729408414,France,20.35919576417673,15.420557320765498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,6778.934815516478,586.0481104268758,7904.147187536079,5653.722443496877,NA,NA,NA
Wallis and Futuna,marsh,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Wallis and Futuna,seagrass,2430,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,262440,NA,NA,NA,NA,NA,NA
Somalia,mangrove,2467.800387308182,Somalia,2860.859260037027,2166.88540731401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,952570.9495009583,82351.05074690685,1110684.9669350195,794456.9320668972,NA,NA,NA
Somalia,marsh,31.8792226831294,Somalia,36.03895484110203,19.30959724925557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,8129.201784197997,1143.0663530938768,10323.88918213824,5934.514386257753,NA,NA,NA
Somalia,seagrass,NA,Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Sint Maarten,mangrove,0.05913104985255821,Netherlands,0.0685491470041157,0.05192081568008303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,22.82458524308747,1.9732163558161355,26.61316064625445,19.03600983992049,NA,NA,NA
Sint Maarten,marsh,0,Netherlands,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Sint Maarten,seagrass,2734,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,295272,NA,NA,NA,NA,NA,NA
French Polynesia,mangrove,1.658810406494141,France,1.9230174111614275,1.456540845774612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,640.3008169067384,55.35487418968334,746.5821753509305,534.0194584625464,NA,NA,NA
French Polynesia,marsh,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
French Polynesia,seagrass,2870,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,309960,NA,NA,NA,NA,NA,NA
Montenegro,mangrove,0,Montenegro,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Montenegro,marsh,2885.810280745299,Montenegro,3262.362681220764,1747.9671575694388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,735881.6215900513,103474.06102464403,934551.8187573679,537211.4244227348,NA,NA,NA
Montenegro,seagrass,NA,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Mauritius,mangrove,22.573217227663527,Mauritius,26.168566090967175,19.820717776978338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,8713.261849878121,753.2733064621754,10159.546598285498,7266.977101470745,NA,NA,NA
Mauritius,marsh,0,Mauritius,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Mauritius,seagrass,3000,Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,324000,NA,NA,NA,NA,NA,NA
Mauritania,mangrove,26.57986772432215,Mauritania,30.813375790345148,23.338811273546373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,10259.82894158835,886.9761294588753,11962.823110149391,8556.834773027309,NA,NA,NA
Mauritania,marsh,3114.923529781566,Mauritania,3521.371569787103,1886.7435828083123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,794305.5000942993,111689.18121827306,1008748.7280333836,579862.272155215,NA,NA,NA
Mauritania,seagrass,NA,Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Finland,mangrove,0,Finland,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Finland,marsh,919.0940333659212,Finland,1039.021204890597,556.7054063674443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,234368.9785083099,32955.178214740445,297642.92068061157,171095.03633600826,NA,NA,NA
Finland,seagrass,3000,Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,324000,NA,NA,NA,NA,NA,NA
British Virgin Islands,mangrove,77.41188000193878,United Kingdom,89.7416561239744,67.97254510196187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,29880.98568074837,2583.2517456595288,34840.829032414666,24921.142329082075,NA,NA,NA
British Virgin Islands,marsh,0,United Kingdom,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
British Virgin Islands,seagrass,3991,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,431028,NA,NA,NA,NA,NA,NA
Lithuania,mangrove,0,Lithuania,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Lithuania,marsh,4199.755016810253,Lithuania,4747.7563333002445,2543.837995242671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,1070937.5292866146,150587.06727794537,1360064.6984602697,781810.3601129595,NA,NA,NA
Lithuania,seagrass,NA,Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Morocco,mangrove,0,Morocco,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Morocco,marsh,4609.741128295157,Morocco,5211.239119695244,2792.1711108035906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,1175483.987715265,165287.59288148204,1492836.1660477105,858131.8093828196,NA,NA,NA
Morocco,seagrass,NA,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Kuwait,mangrove,0,Kuwait,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Kuwait,marsh,100.301938261623,Kuwait,113.38974790619936,60.75399172692482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,25576.994256713864,3596.4418554544845,32482.162619186474,18671.825894241254,NA,NA,NA
Kuwait,seagrass,5000,Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,540000,NA,NA,NA,NA,NA,NA
Martinique,mangrove,1076.1296096507351,France,1247.5301384191212,944.9101149036716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,415386.0293251838,35910.68570633536,484334.5458813477,346437.5127690199,NA,NA,NA
Martinique,marsh,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Martinique,seagrass,4100,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,442800,NA,NA,NA,NA,NA,NA
Peru,mangrove,4152.285516313671,Peru,4813.640734784484,3645.9702894024185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,1602782.209297077,138562.69616789342,1868822.5859394325,1336741.8326547216,NA,NA,NA
Peru,marsh,1130.2988633622952,Peru,1277.7849102079804,684.6345044155505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,288226.21015738527,40528.17135762309,366040.2991640216,210412.12115074892,NA,NA,NA
Peru,seagrass,NA,Peru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Timor-Leste,mangrove,1013.5807087431303,Timor-Leste,1175.0187621801997,889.988209016438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,391242.1535748483,33823.41489654998,456183.11017622426,326301.19697347237,NA,NA,NA
Timor-Leste,marsh,34.09663980712891,Timor-Leste,38.545709676062145,20.652711290135006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,8694.643150817872,1222.5744054203653,11041.986009224973,6347.300292410771,NA,NA,NA
Timor-Leste,seagrass,4266,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,460728,NA,NA,NA,NA,NA,NA
Eritrea,mangrove,5496.288309518346,Eritrea,6371.709554381868,4826.090065281515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,2121567.2874740814,183412.3699082845,2473719.0376979876,1769415.5372501751,NA,NA,NA
Eritrea,marsh,0,Eritrea,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Eritrea,seagrass,313,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,33804,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,mangrove,51.90686580295936,Saint Kitts and Nevis,60.17433113942977,45.57752346028507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,20036.050199942314,1732.143718688287,23361.766139823827,16710.3342600608,NA,NA,NA
Saint Kitts and Nevis,marsh,0,Saint Kitts and Nevis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,seagrass,6042,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,652536,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,mangrove,6323.9436454463475,Trinidad and Tobago,7331.189682550349,5552.823993573096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,2441042.24714229,211031.41353940289,2846222.5611379435,2035861.9331466367,NA,NA,NA
Trinidad and Tobago,marsh,69.19762915649414,Trinidad and Tobago,78.22682055550719,41.91376818991126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,17645.395434906008,2481.160923804926,22409.224408611466,12881.56646120055,NA,NA,NA
Trinidad and Tobago,seagrass,112,Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,12096,NA,NA,NA,NA,NA,NA
Georgia,mangrove,0,Georgia,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Georgia,marsh,6916.706712381111,Georgia,7819.227066303761,4189.525642919194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,1763760.2116571832,248006.5086820776,2239932.7083267723,1287587.7149875942,NA,NA,NA
Georgia,seagrass,NA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Algeria,mangrove,0,Algeria,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Algeria,marsh,2897.0361866119742,Algeria,3275.0533894792707,1754.7668127303618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,738744.2275860534,103876.57884657277,938187.2589714732,539301.1962006337,NA,NA,NA
Algeria,seagrass,4056,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,438048,NA,NA,NA,NA,NA,NA
Malta,mangrove,NA,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Malta,marsh,NA,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Malta,seagrass,7056,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,762048,NA,NA,NA,NA,NA,NA
Norway,mangrove,0,Norway,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Norway,marsh,555.3789903934734,Norway,627.8471264319561,336.39918801631904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,141621.6425503357,19913.75522057456,179856.05257383885,103387.23252683255,NA,NA,NA
Norway,seagrass,6637.000000000001,Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,716796.0000000001,NA,NA,NA,NA,NA,NA
Cyprus,mangrove,0,Cyprus,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Cyprus,marsh,324.9966718261719,Cyprus,367.4035749199803,196.85407334705533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,82874.15131567384,11653.131073004026,105248.16297584157,60500.13965550611,NA,NA,NA
Cyprus,seagrass,7004,Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,756432,NA,NA,NA,NA,NA,NA
Liberia,mangrove,7805.309361820498,Liberia,9048.49990301476,6853.557136421716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,3012849.4136627126,260464.91874154826,3512942.057646485,2512756.76967894,NA,NA,NA
Liberia,marsh,57.74904014282227,Liberia,65.28437253664741,34.97923138756803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,14726.005236419678,2070.658540418584,18701.66963402336,10750.340838815997,NA,NA,NA
Liberia,seagrass,NA,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
US Virgin Islands,mangrove,185.9726113614191,United States,215.5933964768201,163.29575916741837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,71785.42798550778,6205.947626284432,83700.84742797389,59870.008543041666,NA,NA,NA
US Virgin Islands,marsh,0,United States,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
US Virgin Islands,seagrass,8409,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,908172,NA,NA,NA,NA,NA,NA
North Korea,mangrove,0,North Korea,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
North Korea,marsh,8811.67630984873,North Korea,9961.460094605845,5337.329655908753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,2246977.459011426,315952.8324846143,2853606.8973818854,1640348.020640967,NA,NA,NA
North Korea,seagrass,NA,North Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Barbados,mangrove,34.89502379150391,Barbados,40.452928225701534,30.640046184676404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,13469.479183520509,1164.4547467646528,15705.232297308641,11233.726069732376,NA,NA,NA
Barbados,marsh,0,Barbados,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Barbados,seagrass,9017,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,973836,NA,NA,NA,NA,NA,NA
Brunei,mangrove,10897.136578377893,Brunei,12632.777856942366,9568.377715894238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,4206294.719253867,363639.88431853073,4904483.297145446,3508106.141362288,NA,NA,NA
Brunei,marsh,38.32652387084961,Brunei,43.32752641829406,23.214798781832698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,9773.26358706665,1374.241784477442,12411.80781326334,7134.719360869962,NA,NA,NA
Brunei,seagrass,NA,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
