country,area_ha,habitat
United States,1884893,marsh
Mexico,272527,marsh
Canada,111274,marsh
Argentina,118870,marsh
"Brazil, Uruguay, Chile, Peru",9464.5,marsh
South Africa,6147,marsh
Madagascar,5810,marsh
United Arab Emirates,4797,marsh
Great Britain,81842,marsh
Ireland,9889,marsh
Iceland,2617,marsh
Russia,700719,marsh
China,549506,marsh
Australia,1325854,marsh
New Zealand,19650,marsh
"Puerto Rico, United States Virgin Islands",2939.5,marsh
"Guam, Northern Mariana Islands",4.1,marsh
American Samoa,0.1,marsh
"Albania, Belgium, Bulgaria, Croatia, Cyprus, Denmark, Estonia, Finland, France, Germany, Italy, Latvia, Montenegro, Netherlands, Portugal, Romania, Slovenia, Spain, Sweden, Turkey",17847.35,marsh
