study_id,site_id,core_id,horizon_min,horizon_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,carbon_density,stock_gCm2,stock_MgHa,habitat,latitude,longitude,country,admin_division,max_depth
AU_NatSoil,AU_399_BAC_T481,M1707,0,100,1.3612080225387941,NA,0.0050318181818181824,0.006849351277047479,6849.351277047478,68.49351277047478,mangrove,-17,145.77,Australia,Queensland,66
AU_NatSoil,AU_399_REG_T276,M1708,0,100,0.7031605169625821,NA,0.07025,0.0493970263166214,49397.0263166214,493.970263166214,mangrove,-17.66,146.1,Australia,Queensland,60
AU_NatSoil,AU_399_REG_T360,M1709,0,100,1.307735706556274,NA,0.0073625,0.009628204139520568,9628.204139520569,96.2820413952057,mangrove,-18.37,146.11,Australia,Queensland,150
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,0,100,0.41800000000000004,NA,0.13119999999999998,0.0548416,54841.6,548.416,mangrove,19.6957,-87.4659,Mexico,Quintana Roo,100
Adame_et_al_2013,MFA13 El Playon,M0179,0,100,0.39,NA,0.12519999999999998,0.048827999999999996,48827.99999999999,488.2799999999999,mangrove,19.8218,-87.495,Mexico,Quintana Roo,100
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,0,100,0.6525000000000001,NA,0.11374999999999999,0.074221875,74221.875,742.21875,mangrove,19.6477,-87.454,Mexico,Quintana Roo,100
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,0,100,0.2395,NA,0.3226,0.07726269999999999,77262.69999999998,772.6269999999998,mangrove,19.4867,-87.7004,Mexico,Quintana Roo,147
Adame_et_al_2013,MFA13 La Raya,M0178,0,100,0.6776470588235294,NA,0.09035294117647061,0.06122740484429067,61227.40484429067,612.2740484429067,mangrove,19.8408,-87.48,Mexico,Quintana Roo,85
Adame_et_al_2013,MFA13 Laguna Negra,M0176,0,100,0.46399999999999997,NA,0.15675,0.07273199999999999,72731.99999999999,727.3199999999998,mangrove,19.78,-87.4789,Mexico,Quintana Roo,100
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,0,100,0.7025,NA,0.04775,0.033544375,33544.375,335.44375,mangrove,19.8612,-87.4612,Mexico,Quintana Roo,100
Adame_et_al_2013,Sian kaan Tular 1,Tul1S1,0,100,0.6932098765432098,NA,0.04415802469135802,0.0306107788446883,30610.778844688302,306.10778844688303,marsh,19.79358333,-87.5743,Mexico,Quintana Roo,81
Adame_et_al_2013,Sian kaan Tular 1,Tul1S2,0,100,0.4,NA,0.11001499999999999,0.044005999999999997,44006,440.06,marsh,19.79363333,-87.57433333,Mexico,Quintana Roo,100
Adame_et_al_2013,Sian kaan Tular 1,Tul1S3,0,100,0.4858407079646017,NA,0.06522212389380531,0.03168756284752134,31687.56284752134,316.87562847521343,marsh,19.79373333,-87.57438333,Mexico,Quintana Roo,56.49999999999999
Adame_et_al_2013,Sian kaan Tular 1,Tul1S4,0,100,0.4525,NA,0.07683,0.034765575,34765.575000000004,347.65575000000007,marsh,19.793816669999998,-87.57441667,Mexico,Quintana Roo,100
Adame_et_al_2013,Sian kaan Tular 1,Tul1S5,0,100,0.4905,NA,0.11621999999999999,0.05700590999999999,57005.909999999996,570.0591,marsh,19.79391667,-87.57445,Mexico,Quintana Roo,100
Adame_et_al_2013,Sian kaan Tular 1,Tul1S6,0,100,0.491578947368421,NA,0.06210526315789473,0.030529639889196672,30529.63988919667,305.2963988919667,marsh,19.794,-87.5745,Mexico,Quintana Roo,95
Adame_et_al_2015,La Encrucijada,Encrucijada 1,0,100,0.7135,NA,0.039055,0.027865742500000002,27865.7425,278.657425,marsh,15.03188056,-92.70791111,Mexico,Chiapas,100
Adame_et_al_2015,La Encrucijada,Encrucijada 2,0,100,0.4,NA,0.11001499999999999,0.044005999999999997,44006,440.06,marsh,15.0323186,-92.70890655,Mexico,Chiapas,100
Adame_et_al_2015,La Encrucijada,Encrucijada 3,0,100,0.579,NA,0.050640000000000004,0.02932056,29320.559999999998,293.2056,marsh,15.03238417,-92.70855934,Mexico,Chiapas,100
Adame_et_al_2015,La Encrucijada,Encrucijada 4,0,100,0.4525,NA,0.07683,0.034765575,34765.575000000004,347.65575000000007,marsh,15.03238417,-92.70855934,Mexico,Chiapas,100
Adame_et_al_2015,La Encrucijada,Encrucijada 5,0,100,0.4905,NA,0.11621999999999999,0.05700590999999999,57005.909999999996,570.0591,marsh,15.03238417,-92.70855934,Mexico,Chiapas,100
Adame_et_al_2015,La Encrucijada,Encrucijada 6,0,100,0.49150000000000005,NA,0.060145000000000004,0.029561267500000005,29561.267500000005,295.6126750000001,marsh,15.03263889,-92.70883056,Mexico,Chiapas,100
Adame_et_al_2015,MFA15 Esterillo,M0358,0,100,0.1533304453544464,0.6185994938850281,0.17664999999999997,0.027085823171862953,27085.823171862954,270.85823171862955,mangrove,15.180488,-92.837974,Mexico,Chiapas,161.51148116553043
Adame_et_al_2015,MFA15 Las Palmas,M0361,0,100,0.4323381113290146,0.19456528780423663,0.01825,0.007890170531754516,7890.170531754516,78.90170531754517,mangrove,15.164754,-92.827909,Mexico,Chiapas,139.35714285714283
Adame_et_al_2015,MFA15 Paixtalon,M0357,0,100,0.15493462723636642,0.6132720434031752,0.17404999999999998,0.026966371870489572,26966.371870489573,269.66371870489576,mangrove,15.178753,-92.804561,Mexico,Chiapas,135.06755394232707
Adame_et_al_2015,MFA15 Panzacola,M0355,0,100,0.14003690934062413,0.6895148348159894,0.2228,0.031200223401091055,31200.223401091054,312.00223401091057,mangrove,15.130013,-92.754068,Mexico,Chiapas,146.1591499026606
Adame_et_al_2015,MFA15 Santa Chila,M0359,0,100,0.15721513177829766,0.6118812567103861,0.17645,0.027740610002280622,27740.61000228062,277.4061000228062,mangrove,15.176293,-92.848353,Mexico,Chiapas,121.65357290531142
Adame_et_al_2015,MFA15 Teculapa,M0356,0,100,0.1675552834506956,0.5672110718662002,0.14945,0.025041137111706455,25041.137111706452,250.41137111706453,mangrove,15.156381,-92.77937,Mexico,Chiapas,128.49056603773585
Adame_et_al_2015,MFA15 Zacapulco,M0360,0,100,0.21609972505090735,0.43235227211474886,0.08660231595246912,0.018714736666100382,18714.736666100383,187.14736666100384,mangrove,15.203104,-92.88521,Mexico,Chiapas,99.85546218487394
Adame_et_al_2020,Insulator Creek,Plot 1,0,100,1.1952631578947366,NA,0.0073684210526315744,0.008807202216066476,8807.202216066475,88.07202216066474,marsh,-18.8952599104916,146.26099029562,Australia,Queensland,100
Adame_et_al_2020,Insulator Creek,Plot 2,0,100,1.2825,NA,0.008499999999999999,0.010901249999999998,10901.249999999998,109.01249999999999,marsh,-18.8951126708873,146.260891898981,Australia,Queensland,100
Adame_et_al_2020,Insulator Creek,Plot 3,0,100,1.158,NA,0.011699999999999999,0.013548599999999997,13548.599999999997,135.48599999999996,marsh,-18.8949543496924,146.26078599736,Australia,Queensland,100
Adame_et_al_2020,Insulator Creek,Plot 4,0,100,1.3807142857142858,NA,0.007857142857142858,0.010848469387755104,10848.469387755104,108.48469387755104,marsh,-18.8947947982654,146.260679754221,Australia,Queensland,100
Adame_et_al_2020,Insulator Creek,Plot 5,0,100,1.1400000000000001,NA,0.029099999999999997,0.033174,33174,331.74,marsh,-18.8945943468993,146.260541666667,Australia,Queensland,50
Adame_et_al_2021,Arco,Arco 10m,0,100,1.001,NA,0.06937,0.06943937,69439.37,694.3937,marsh,30.4578789257437,-116.025855087149,Mexico,Baja California,100
Adame_et_al_2021,Arco,Arco 30m,0,100,1.094,NA,0.08855500000000001,0.09687917000000001,96879.17000000003,968.7917000000003,marsh,30.4577021252893,-116.025837227569,Mexico,Baja California,100
Adame_et_al_2021,Arco,Arco 50m,0,100,1.107,NA,0.025670000000000002,0.02841669,28416.69,284.1669,marsh,30.4575242986184,-116.025812689808,Mexico,Baja California,100
Adame_et_al_2021,Arco,Arco 70m,0,100,1.408,NA,0.015359999999999995,0.02162687999999999,21626.879999999994,216.26879999999994,marsh,30.4573420866107,-116.025789898268,Mexico,Baja California,100
