territory,ecosystem,hectare,country
Cabo Verde,mangrove,NA,Cabo Verde
Cabo Verde,marsh,NA,Cabo Verde
Cabo Verde,seagrass,0.002,Cabo Verde
Cabo Verde,total,0.002,Cabo Verde
Nauru,mangrove,2.563445520019531,Nauru
Nauru,marsh,0,Nauru
Nauru,seagrass,NA,Nauru
Nauru,total,2.563445520019531,Nauru
Saint Barthelemy,mangrove,2.9658124816894533,France
Saint Barthelemy,marsh,0,France
Saint Barthelemy,seagrass,NA,France
Saint Barthelemy,total,2.9658124816894533,France
Israel,mangrove,0,Israel
Israel,marsh,9.182645513916016,Israel
Israel,seagrass,NA,Israel
Israel,total,9.182645513916016,Israel
Syria,mangrove,0,Syria
Syria,marsh,12.165178649902344,Syria
Syria,seagrass,NA,Syria
Syria,total,12.165178649902344,Syria
Canarias,mangrove,0,Spain
Canarias,marsh,12.711602993092256,Spain
Canarias,seagrass,NA,Spain
Canarias,total,12.711602993092256,Spain
Saint Martin,mangrove,15.191869620433136,France
Saint Martin,marsh,0,France
Saint Martin,seagrass,NA,France
Saint Martin,total,15.191869620433136,France
Réunion,mangrove,0,France
Réunion,marsh,21.063476586914067,France
Réunion,seagrass,NA,France
Réunion,total,21.063476586914067,France
Aruba,mangrove,73.25662073766371,Aruba
Aruba,marsh,0,Aruba
Aruba,seagrass,NA,Aruba
Aruba,total,73.25662073766371,Aruba
Jordan,mangrove,NA,Jordan
Jordan,marsh,NA,Jordan
Jordan,seagrass,137,Jordan
Jordan,total,137,Jordan
Slovenia,mangrove,0,Slovenia
Slovenia,marsh,139.53107912657498,Slovenia
Slovenia,seagrass,8,Slovenia
Slovenia,total,147.53107912657498,Slovenia
Iraq,mangrove,0,Iraq
Iraq,marsh,179.71506682052316,Iraq
Iraq,seagrass,NA,Iraq
Iraq,total,179.71506682052316,Iraq
Bonaire,mangrove,219.17305991881128,Netherlands
Bonaire,marsh,0,Netherlands
Bonaire,seagrass,NA,Netherlands
Bonaire,total,219.17305991881128,Netherlands
Dominica,mangrove,NA,Dominica
Dominica,marsh,NA,Dominica
Dominica,seagrass,265,Dominica
Dominica,total,265,Dominica
Saint Pierre and Miquelon,mangrove,0,France
Saint Pierre and Miquelon,marsh,272.82772579807647,France
Saint Pierre and Miquelon,seagrass,NA,France
Saint Pierre and Miquelon,total,272.82772579807647,France
Oman,mangrove,232.064671155599,Oman
Oman,marsh,82.57630041503907,Oman
Oman,seagrass,NA,Oman
Oman,total,314.64097157063804,Oman
Guam,mangrove,31.006784185719212,United States
Guam,marsh,0,United States
Guam,seagrass,307,United States
Guam,total,338.00678418571925,United States
Saint Vincent and the Grenadines,mangrove,46.53762900735294,Saint Vincent and the Grenadines
Saint Vincent and the Grenadines,marsh,0,Saint Vincent and the Grenadines
Saint Vincent and the Grenadines,seagrass,320,Saint Vincent and the Grenadines
Saint Vincent and the Grenadines,total,366.53762900735296,Saint Vincent and the Grenadines
Namibia,mangrove,0,Namibia
Namibia,marsh,446.56362700168984,Namibia
Namibia,seagrass,NA,Namibia
Namibia,total,446.56362700168984,Namibia
Iceland,mangrove,NA,Iceland
Iceland,marsh,NA,Iceland
Iceland,seagrass,500,Iceland
Iceland,total,500,Iceland
Djibouti,mangrove,533.5000753703997,Djibouti
Djibouti,marsh,0,Djibouti
Djibouti,seagrass,NA,Djibouti
Djibouti,total,533.5000753703997,Djibouti
Congo,mangrove,353.60366523882703,Congo
Congo,marsh,203.68229158325195,Congo
Congo,seagrass,NA,Congo
Congo,total,557.285956822079,Congo
French Southern Territories,mangrove,570.8453322627288,France
French Southern Territories,marsh,0,France
French Southern Territories,seagrass,NA,France
French Southern Territories,total,570.8453322627288,France
Singapore,mangrove,580.7095356470442,Singapore
Singapore,marsh,0,Singapore
Singapore,seagrass,33.7,Singapore
Singapore,total,614.4095356470442,Singapore
Bosnia and Herzegovina,mangrove,0,Bosnia and Herzegovina
Bosnia and Herzegovina,marsh,636.2995038603182,Bosnia and Herzegovina
Bosnia and Herzegovina,seagrass,NA,Bosnia and Herzegovina
